"idDadosPrecipitacao";"idReservatorio";"dataMedida";"precipitacao";"idReservatorio_anterior"
"1";"8";"2002-01-01";"1";"1"
"2";"8";"2002-01-02";"18.299999237";"1"
"3";"8";"2002-01-03";"19";"1"
"4";"8";"2002-01-04";"0";"1"
"5";"8";"2002-01-05";"9.8000001907";"1"
"6";"8";"2002-01-06";"46";"1"
"7";"8";"2002-01-07";"21.799999237";"1"
"8";"8";"2002-01-08";"68";"1"
"9";"8";"2002-01-09";"4.1999998093";"1"
"10";"8";"2002-01-10";"6.6999998093";"1"
"11";"8";"2002-01-11";"38.599998474";"1"
"12";"8";"2002-01-12";"1";"1"
"13";"8";"2002-01-13";"1";"1"
"14";"8";"2002-01-14";"9.3999996185";"1"
"15";"8";"2002-01-15";"0";"1"
"16";"8";"2002-01-16";"6.5";"1"
"17";"8";"2002-01-17";"6.5";"1"
"18";"8";"2002-01-18";"7.4000000954";"1"
"19";"8";"2002-01-19";"26.200000763";"1"
"20";"8";"2002-01-20";"7.5999999046";"1"
"21";"8";"2002-01-21";"0";"1"
"22";"8";"2002-01-22";"25.200000763";"1"
"23";"8";"2002-01-23";"22";"1"
"24";"8";"2002-01-24";"0";"1"
"25";"8";"2002-01-25";"0";"1"
"26";"8";"2002-01-26";"0";"1"
"27";"8";"2002-01-27";"3";"1"
"28";"8";"2002-01-28";"35.599998474";"1"
"29";"8";"2002-01-29";"0";"1"
"30";"8";"2002-01-30";"0";"1"
"31";"8";"2002-01-31";"0";"1"
"32";"8";"2002-02-01";"0";"1"
"33";"8";"2002-02-02";"0";"1"
"34";"8";"2002-02-03";"0";"1"
"35";"8";"2002-02-04";"21.399999619";"1"
"36";"8";"2002-02-05";"8.3999996185";"1"
"37";"8";"2002-02-06";"0";"1"
"38";"8";"2002-02-07";"2.9000000954";"1"
"39";"8";"2002-02-08";"0";"1"
"40";"8";"2002-02-09";"20.399999619";"1"
"41";"8";"2002-02-10";"8.6000003815";"1"
"42";"8";"2002-02-11";"17.399999619";"1"
"43";"8";"2002-02-12";"8.8000001907";"1"
"44";"8";"2002-02-13";"0";"1"
"45";"8";"2002-02-14";"0";"1"
"46";"8";"2002-02-15";"0";"1"
"47";"8";"2002-02-16";"0";"1"
"48";"8";"2002-02-17";"8.5";"1"
"49";"8";"2002-02-18";"0";"1"
"50";"8";"2002-02-19";"6.8000001907";"1"
"51";"8";"2002-02-20";"0";"1"
"52";"8";"2002-02-21";"0";"1"
"53";"8";"2002-02-22";"0";"1"
"54";"8";"2002-02-23";"0";"1"
"55";"8";"2002-02-24";"0";"1"
"56";"8";"2002-02-25";"0";"1"
"57";"8";"2002-02-26";"1.3999999762";"1"
"58";"8";"2002-02-27";"0";"1"
"59";"8";"2002-02-28";"0";"1"
"60";"8";"2002-03-01";"0";"1"
"61";"8";"2002-03-02";"0";"1"
"62";"8";"2002-03-03";"0";"1"
"63";"8";"2002-03-04";"0";"1"
"64";"8";"2002-03-05";"0";"1"
"65";"8";"2002-03-06";"2.4000000954";"1"
"66";"8";"2002-03-07";"0";"1"
"67";"8";"2002-03-08";"0";"1"
"68";"8";"2002-03-09";"0";"1"
"69";"8";"2002-03-10";"0";"1"
"70";"8";"2002-03-11";"0";"1"
"71";"8";"2002-03-12";"0";"1"
"72";"8";"2002-03-13";"0";"1"
"73";"8";"2002-03-14";"0";"1"
"74";"8";"2002-03-15";"0";"1"
"75";"8";"2002-03-16";"0";"1"
"76";"8";"2002-03-17";"18";"1"
"77";"8";"2002-03-18";"0";"1"
"78";"8";"2002-03-19";"0";"1"
"79";"8";"2002-03-20";"0";"1"
"80";"8";"2002-03-21";"0";"1"
"81";"8";"2002-03-22";"0.8000000119";"1"
"82";"8";"2002-03-23";"6.4000000954";"1"
"83";"8";"2002-03-24";"2.2000000477";"1"
"84";"8";"2002-03-25";"2.2000000477";"1"
"85";"8";"2002-03-26";"2.4000000954";"1"
"86";"8";"2002-03-27";"23.200000763";"1"
"87";"8";"2002-03-28";"3.2000000477";"1"
"88";"8";"2002-03-29";"0";"1"
"89";"8";"2002-03-30";"0";"1"
"90";"8";"2002-03-31";"0";"1"
"91";"8";"2002-04-01";"0";"1"
"92";"8";"2002-04-02";"0";"1"
"93";"8";"2002-04-03";"0";"1"
"94";"8";"2002-04-04";"0";"1"
"95";"8";"2002-04-05";"0";"1"
"96";"8";"2002-04-06";"0";"1"
"97";"8";"2002-04-07";"0";"1"
"98";"8";"2002-04-08";"0";"1"
"99";"8";"2002-04-09";"5.8000001907";"1"
"100";"8";"2002-04-10";"0";"1"
"101";"8";"2002-04-11";"28.600000381";"1"
"102";"8";"2002-04-12";"6.4000000954";"1"
"103";"8";"2002-04-13";"32.400001526";"1"
"104";"8";"2002-04-14";"0";"1"
"105";"8";"2002-04-15";"6";"1"
"106";"8";"2002-04-16";"0";"1"
